,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
ED,Special Education,Intl Crt or Tchr Sekng Crs End,Master's,MS,00048,131001,31,39,26,19,11,,,,,,,,,,,,,,,,,,,
ED,Special Education,Tchrs Seeking Cross-Endorsemnt,Master's,MS,00048,131001,,,,,2,,,,,,,,,,,,,,,,,,,
ED,Special Education,Techrs Seeking Cross-Endorsmnt,Master's,MS,00048,131001,2,2,,,,,,,,,,,,,,,,,,,,,,
ED,Special Education,Total,Total,Total,Total,Total,39,47,35,20,31,,,,,,,,,,,,,,,,,,,
ED,Superintendent of Schools,,Post-MA-Cert,PM CERT,14633,130411,11,17,1,20,1,,,,,,,,,,,,,,,,,,,
ED,Superintendent of Schools,Total,Total,Total,Total,Total,11,17,1,20,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,,Master's,MAT,14255,130101,1,,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,English,Master's,MAT,14255,130101,3,2,2,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,History/Social Studies (MAT),Master's,MAT,14255,130101,5,4,4,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Mathematics,Master's,MAT,14255,130101,3,,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Modern Language (MAT),Master's,MAT,14255,130101,2,,1,1,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Science,Master's,MAT,14255,130101,,3,3,1,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Special Education K-12 (MAT),Master's,MAT,14255,130101,7,,1,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Technology&Engineering Ed K-12,Master's,MAT,14255,130101,,1,,,,,,,,,,,,,,,,,,,,,,
ED,Teacher Education,Total,Total,Total,Total,Total,21,10,11,2,1,,,,,,,,,,,,,,,,,,,
ED,Teacher Leadership,,Master's,MS,05642,130401,11,17,14,15,9,,,,,,,,,,,,,,,,,,,
